,Image,F1,Jaccard,Recall,Precision,Accuracy
251,archive\images\3012.png,0.0,0.0,0.0,0.0,0.99322509765625
252,archive\images\2566.png,0.8110918544194107,0.6822157434402333,0.6882352941176471,0.9873417721518988,0.9983367919921875
253,archive\images\841.png,0.9227823867262284,0.8566350710900474,0.9810040705563093,0.8710843373493976,0.9981536865234375
254,archive\images\2922.png,0.934010152284264,0.8761904761904762,0.9672897196261683,0.9029443838604144,0.996429443359375
255,archive\images\2359.png,0.4442013129102845,0.28551336146272854,0.6048867699642432,0.35096818810511754,0.96124267578125
256,archive\images\1304.png,0.8829536527886881,0.790436005625879,0.8646153846153846,0.9020866773675762,0.9977264404296875
257,archive\images\1063.png,0.8768718801996672,0.7807407407407407,0.7807407407407407,1.0,0.99774169921875
258,archive\images\769.png,0.900763358778626,0.8194444444444444,0.9054927302100162,0.8960831334932055,0.9962310791015625
259,archive\images\2246.png,0.7952127659574468,0.6600441501103753,0.6600441501103753,1.0,0.997650146484375
260,archive\images\2362.png,0.13486842105263158,0.07231040564373897,0.07231040564373897,1.0,0.991973876953125
261,archive\images\550.png,0.8871794871794871,0.7972350230414746,0.865,0.9105263157894737,0.99932861328125
262,archive\images\2878.png,0.8484125089520173,0.7367330016583747,0.9437068507700478,0.7705984388551604,0.9903106689453125
263,archive\images\1021.png,0.8604452054794521,0.7550713749060857,0.8065810593900482,0.9220183486238532,0.995025634765625
264,archive\images\197.png,0.6636085626911314,0.4965675057208238,0.5214257108530236,0.9124036440084092,0.9798583984375
265,archive\images\1274.png,0.9359129383313181,0.8795454545454545,0.9872448979591837,0.8896551724137931,0.9991912841796875
266,archive\images\915.png,0.7487797875394776,0.5984396512161542,0.6102012166588676,0.9687964338781575,0.9866485595703125
267,archive\images\2360.png,0.4741521238063879,0.3107466551575313,0.45512010113780027,0.4948453608247423,0.9756317138671875
268,archive\images\1553.png,0.8010801080108011,0.6681681681681682,0.6867283950617284,0.9611231101511879,0.9966278076171875
269,archive\images\2262.png,0.9550466497031382,0.913961038961039,0.9526226734348562,0.9574829931972789,0.998382568359375
270,archive\images\2096.png,0.7466230045026606,0.5956890920966689,0.7972027972027972,0.7020785219399538,0.9905548095703125
271,archive\images\2385.png,0.9139633286318758,0.8415584415584415,0.8463949843260188,0.9932556713672593,0.9953460693359375
272,archive\images\2073.png,0.433640395769362,0.27684600304944457,0.44116626171468243,0.4263669909426367,0.9493408203125
273,archive\images\979.png,0.8874418604651162,0.7976588628762542,0.8153846153846154,0.9734693877551021,0.9981536865234375
274,archive\images\1658.png,0.8937728937728937,0.8079470198675497,0.8714285714285714,0.9172932330827067,0.9995574951171875
275,archive\images\864.png,0.8274839347503706,0.7057335581787522,0.721551724137931,0.9698725376593279,0.9840240478515625
276,archive\images\2571.png,0.838962310327949,0.7225969645868465,0.7225969645868465,1.0,0.9949798583984375
277,archive\images\1269.png,0.9627659574468085,0.9282051282051282,0.9731182795698925,0.9526315789473684,0.999786376953125
278,archive\images\985.png,0.5650793650793651,0.3938053097345133,0.46113989637305697,0.7295081967213115,0.995819091796875
279,archive\images\847.png,0.9285270354257302,0.8665893271461717,0.92336217552534,0.93375,0.9982452392578125
280,archive\images\1218.png,0.8358208955223881,0.717948717948718,0.8842105263157894,0.7924528301886793,0.998992919921875
281,archive\images\926.png,0.9100817438692099,0.835,0.9881656804733728,0.8434343434343434,0.998992919921875
282,archive\images\2029.png,0.7858719646799117,0.6472727272727272,0.6472727272727272,1.0,0.9955596923828125
283,archive\images\559.png,0.9169139465875371,0.8465753424657534,0.8535911602209945,0.9903846153846154,0.9991455078125
284,archive\images\16.png,0.8934010152284264,0.8073394495412844,0.9887640449438202,0.8148148148148148,0.999359130859375
285,archive\images\1972.png,0.7897862232779097,0.6526005888125613,0.724400871459695,0.8681462140992167,0.994598388671875
286,archive\images\2837.png,0.0,0.0,0.0,0.0,0.9915924072265625
287,archive\images\1050.png,0.931350114416476,0.8715203426124197,0.8828633405639913,0.9854721549636803,0.996337890625
288,archive\images\2971.png,0.8039033457249071,0.6721056721056721,0.690343176376696,0.9621802002224694,0.993560791015625
289,archive\images\1988.png,0.44326052210974964,0.28473648186173856,0.9411764705882353,0.2898954703832753,0.9840545654296875
290,archive\images\949.png,0.8093158660844251,0.6797066014669927,0.7808988764044944,0.8398791540785498,0.9980010986328125
291,archive\images\2633.png,0.0,0.0,0.0,0.0,0.9935455322265625
292,archive\images\1410.png,0.786231884057971,0.6477611940298508,0.6845425867507886,0.9234042553191489,0.998199462890625
